Hour,Origin,Destination,Train_Type,Number_of_Cars,Cars_Loaded,Cars_Empty,Containers_Empty,Containers_Loaded,Tons_Per_Train,HP_Required
11.2,Allouez,Hibbing,Intermodal,83,79,4,8,158,11720.86223,46883.44892
11.2,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
22.4,Allouez,Hibbing,Intermodal,82,79,3,6,158,11686.13946,46744.55786
22.4,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
33.6,Allouez,Hibbing,Intermodal,83,79,4,8,158,11720.86223,46883.44892
33.6,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
44.8,Allouez,Hibbing,Intermodal,82,78,4,8,156,11574.255,46297.02
44.8,Hibbing,Allouez,Intermodal,83,83,0,0,166,12168.40009,48673.60036
56,Allouez,Hibbing,Intermodal,82,78,4,8,156,11574.255,46297.02
56,Hibbing,Allouez,Intermodal,83,83,0,0,166,12168.40009,48673.60036
67.2,Allouez,Hibbing,Intermodal,82,78,4,8,156,11574.255,46297.02
67.2,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
78.4,Allouez,Hibbing,Intermodal,82,78,4,8,156,11574.255,46297.02
78.4,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
89.6,Allouez,Hibbing,Intermodal,82,79,3,6,158,11686.13946,46744.55786
89.6,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
100.8,Allouez,Hibbing,Intermodal,82,79,3,6,158,11686.13946,46744.55786
100.8,Hibbing,Allouez,Intermodal,82,82,0,0,164,12021.79286,48087.17144
112,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
112,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
123.2,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
123.2,Hibbing,Allouez,Manifest,88,48,40,0,0,8426.05764,12639.08646
134.4,Allouez,Hibbing,Manifest,89,60,29,0,0,9803.393985,14705.09098
